Month,
2000-01,5867
2000-02,5941
2000-03,5907
2000-04,5899
2000-05,5836
2000-06,5835
2000-07,5734
2000-08,5660
2000-09,5721
2000-10,5634
2000-11,5632
2000-12,5315
2001-01,5299
2001-02,5240
2001-03,5179
2001-04,5200
2001-05,5215
2001-06,5190
2001-07,5262
2001-08,5220
2001-09,5118
2001-10,5077
2001-11,5066
2001-12,5072
2002-01,5041
2002-02,5040
2002-03,5146
2002-04,5123
2002-05,5104
2002-06,5172
2002-07,5195
2002-08,5181
2002-09,5091
2002-10,5092
2002-11,5040
2002-12,4950
2003-01,4970
2003-02,5005
2003-03,5016
2003-04,5022
2003-05,4995
2003-06,4960
2003-07,4926
2003-08,4867
2003-09,4944
2003-10,4901
2003-11,4908
2003-12,4890
2004-01,4855
2004-02,4833
2004-03,4670
2004-04,4722
2004-05,4753
2004-06,4726
2004-07,4719
2004-08,4750
2004-09,4826
2004-10,4728
2004-11,4726
2004-12,4733
2005-01,4715
2005-02,4664
2005-03,4525
2005-04,4685
2005-05,4642
2005-06,4611
2005-07,4586
2005-08,4600
2005-09,4562
2005-10,4527
2005-11,4468
2005-12,4432
2006-01,4415
2006-02,4405
2006-03,4383
2006-04,4378
2006-05,4356
2006-06,4416
2006-07,4405
2006-08,4404
2006-09,4357
2006-10,4331
2006-11,4323
2006-12,4289
2007-01,4310
2007-02,4256
2007-03,4228
2007-04,4142
2007-05,4093
2007-06,4017
2007-07,3972
2007-08,3899
2007-09,3855
2007-10,3880
2007-11,3909
2007-12,3886
2008-01,3857
2008-02,3887
2008-03,3745
2008-04,3735
2008-05,3706
2008-06,3660
2008-07,3630
2008-08,3568
2008-09,3629
2008-10,3618
2008-11,3562
2008-12,3564
2009-01,3580
2009-02,3608
2009-03,3690
2009-04,3702
2009-05,3730
2009-06,3745
2009-07,3748
2009-08,3724
2009-09,3741
2009-10,3749
2009-11,3769
2009-12,3788
2010-01,3758
2010-02,3789
2010-03,3837
2010-04,3804
2010-05,3811
2010-06,3805
2010-07,3803
2010-08,3815
2010-09,3805
2010-10,3808
2010-11,3828
2010-12,3829
2011-01,3894
2011-02,3869
2011-03,3807
2011-04,3790
2011-05,3791
2011-06,3813
2011-07,3829
2011-08,3843
2011-09,3816
2011-10,3831
2011-11,3831
2011-12,3854
2012-01,3907
2012-02,3831
2012-03,3849
2012-04,3866
2012-05,3865
2012-06,3869
2012-07,3881
2012-08,3882
2012-09,3915
2012-10,3917
2012-11,3914
2012-12,3890
2013-01,3890
2013-02,3917
2013-03,3965
2013-04,4012
2013-05,4008
2013-06,4025
2013-07,4061
2013-08,4126
2013-09,4125
2013-10,4087
,
Value of Manufacturers' Total Inventories for Nondurable Goods Industries: Beverage and Tobacco Products,
